Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,
Evaluation Results,,,,,,,,,,,,,,,,,,,,
Here is a breakdown of each mean score for each question.,,,,,,,,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 8,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course
Summer,2013,"GUNAWARDENA, A.",CS,15110,PRINCPLS OF COMPUTNG,E,Lect,4,13,31%,14.5,4.25,3.75,3.5,3.75,4.5,3.75,4.75,4,4
Summer,2013,"CORTINA, T.",CS,15110,PRINCPLS OF COMPUTNG,S,Lect,10,14,71%,14.6,4.7,4.6,4.5,4,4.6,4.4,4.6,4.7,4.1
Summer,2013,"GUNAWARDENA, A.",CS,15110,PRINCPLS OF COMPUTNG,U,Lect,3,7,43%,20.67,3.33,3,3,2.33,3.67,3.33,4,3.33,3
Summer,2013,"KESDEN, G.",CS,15112,FNDMTLS OF PGMG & CS,E,Lect,29,57,51%,16.9,3.72,3.93,3.86,4,4.36,3.97,4,3.79,4.1
Summer,2013,"KESDEN, G.",CS,15112,FNDMTLS OF PGMG & CS,S,Lect,3,11,27%,14,4,4,3.67,3.67,3.33,3.33,3.67,3.67,3.67
Summer,2013,"KESDEN, G.",CS,15112,FNDMTLS OF PGMG & CS,U,Lect,6,17,35%,15.33,4.33,3.17,3.33,4.17,4.33,4.17,3.33,3.67,4.17
Summer,2013,"ADAMCHIK, V.",CS,15122,PRIN IMPRTV COMPTATN,E,Lect,10,12,83%,17.3,4.1,3.6,4.1,3.1,4.4,4,3.2,4,4.3
Summer,2013,"ANDERSON, A.",CS,15122,PRIN IMPRTV COMPTATN,S,Lect,3,17,18%,18.67,4.67,4.67,4.33,4.33,4.67,5,5,4.67,4.67
Summer,2013,"ADAMCHIK, V.",CS,15122,PRIN IMPRTV COMPTATN,U,Lect,13,25,52%,18.69,3.62,3.54,3.85,2.62,4,3.69,3.08,3.46,3.46
Summer,2013,"CERVESATO, I.",CS,15150,PRIN FNCTIONL PRGMMG,S,Lect,11,20,55%,21.55,4.36,4.27,4.27,4.09,4.09,4.45,4.36,4.36,4
Summer,2013,"KESDEN, G.",CS,15213,INTR CMPUTER SYSTEMS,M,Lect,11,30,37%,19.18,4.64,4.55,4.45,4.18,4.36,4.55,4.18,4.4,4.36
Summer,2013,"KESDEN, G.",CS,15213,INTR CMPUTER SYSTEMS,W,Lect,1,4,25%,24,5,5,5,5,5,5,5,5,5
Summer,2013,"KEATING, T.",CS,15221,TECHNCL COMMUNCTN CS,S,Lect,3,10,30%,12,4.67,4.67,5,5,5,5,4.67,5,5
Summer,2013,"KESDEN, G.",CS,15513,INTRO COMPUTER SYSTM,M,Lect,48,109,44%,17.88,4.67,4.73,4.85,4.19,4.65,4.73,4.52,4.67,4.69
Summer,2013,"DATE, J. (co-taught)",HCI,5672,HCI PROJECT II,M,Lect,34,52,65%,24,4.38,4.03,4.03,3.97,4.41,3.94,4.32,4.06,3.94
Summer,2013,"ANGIOLILLO, C. (co-taught)",HCI,5672,HCI PROJECT II,M,Lect,34,52,65%,24,4.18,3.93,3.96,4.18,4.43,4.11,4.79,4.18,4
Summer,2013,"TELANG, S.",ISR,8721,EBUSINESS DISASTERS,M5,Lect,41,43,95%,8.54,4.59,4.51,4.51,4.39,4.44,4.34,4.8,4.54,4.41
Summer,2013,"LEE, E.",ISR,8722,DATA STRCR APPL PRGM,M5,Lect,38,44,86%,12.55,4.82,4.79,4.84,4.37,4.74,4.79,4.82,4.79,4.82
Summer,2013,"JEONG, S.",ISR,8723,MBL APPLCTN DVLP AND,N6,Lect,21,23,91%,12.1,4.48,4.33,4.48,4.48,4.48,4.19,4.76,4.19,4.05
Summer,2013,"MUSSITSCH, J.",ISR,8724,CLIENT-SDE WEB TCHNL,N6,Lect,28,37,76%,9.04,4.54,4.68,4.57,4.44,4.39,4.48,4.68,4.57,4.54
Summer,2013,"ROSSO-LLOPART, M.",SE,17602,INTRO PRSNL SFTWR PR,O5,Lect,2,7,29%,9.5,5,4.5,5,5,5,5,5,5,5
Summer,2013,"ROZUM, J.",SE,17615,SFTWR PROCS DEFINTN,M,Lect,4,7,57%,8.75,4.75,4.5,4.5,4.25,4.75,5,5,5,4.25
Summer,2013,"MIRANDA, E.",SE,17622,EST SFT DEV MNTN PRJ,M5,Lect,6,9,67%,12,5,4.5,4.67,4.83,4.67,4.67,5,4.83,4.83
Summer,2013,"DANIEL, S.",SE,17624,OPEN SOURCE SOFTWRE,M6,Lect,2,4,50%,9.5,5,5,5,5,5,5,5,5,5
Summer,2013,"MEAD, N.",SE,17627,SFTW SECTY ENGINRG,M6,Lect,4,10,40%,7.25,4.25,4.25,4.5,4.75,4.5,4.25,4.75,4.25,4
Summer,2013,"KEELING, M.",SE,17638,SYS ARCH FOR MANAGRS,O6,Lect,7,13,54%,11,2.86,3.43,3.71,3,3.14,3,3.71,2.86,2.71
Summer,2013,"GREENHALGH, D.",SE,17653,MANAGE SFTWR DVLPMT,O,Lect,11,22,50%,17.73,4.18,4.18,4.36,3.36,4.27,4.36,4.91,4.09,4.09
Summer,2013,"ROSSO-LLOPART, M. (co-taught)",SE,17673,SOFTWR DEV STUDO III,M,Lect,4,12,33%,16,3.75,3.25,3.25,3.25,3.5,3.25,3.5,3.25,3.25
Summer,2013,"ROOT, D. (co-taught)",SE,17673,SOFTWR DEV STUDO III,M,Lect,4,12,33%,16.67,3.33,3,3,3,3.33,3,3.33,3,3
Summer,2013,"BASS, M. (co-taught)",SE,17673,SOFTWR DEV STUDO III,M,Lect,4,12,33%,16.67,3,2.67,2.67,2.67,3,2.67,3,2.67,2.67
Summer,2013,"MIRANDA, E. (co-taught)",SE,17673,SOFTWR DEV STUDO III,M,Lect,4,12,33%,24,3.67,3.33,3.33,3.33,3.67,3.33,3.67,3.33,3.33
Summer,2013,"BASS, M.",SE,17677,PRACTICUM SOFT ENG I,M,Lect,11,14,79%,18.73,4.36,4.45,4.45,4.36,4.36,4.27,4.45,4.09,4.27
Summer,2013,"ROOT, D. (co-taught)",SE,17677,PRACTICUM SOFT ENG I,N,Lect,1,2,50%,14,5,5,5,5,4,5,5,5,5
Summer,2013,"BASS, M.",SE,17677,PRACTICUM SOFT ENG I,O,Lect,11,14,79%,15.91,4.36,4.36,4.45,4.45,4.36,4.27,4.5,4.3,4.36
Summer,2013,"ROZUM, J.",SE,17691,SOFTWARE DEVPT TOOLS,O6,Lect,1,7,14%,5,5,4,5,5,5,5,5,5,5
Spring,2013,"SCHWARTZ, R. (co-taught)",CB,2250,INTRO COMPTNL BIOLGY,1,Lect,9,16,56%,9,4.22,3.89,3.75,3.44,4,3.78,4.33,3.78,3.44
Spring,2013,"Murphy, R. (co-taught)",CB,2250,INTRO COMPTNL BIOLGY,1,Lect,9,16,56%,9.33,3.22,3.11,3,2.89,3.44,3,3.67,3.22,2.89
Spring,2013,"SCHWARTZ, R.",CB,2251,INTR CMPTNL MLCR BLY,13,Lect,1,2,50%,5,5,5,2,2,5,2,5,3,2
Spring,2013,"Murphy, R.",CB,2252,INTRO CMPTL CELL BLY,14,Lect,1,2,50%,2,5,5,5,5,5,5,5,5,5
Spring,2013,"BAR-JOSEPH, Z.",CB,2510,COMPUTATNL GENOMICS,A,Lect,2,3,67%,8,2.5,4.5,4,2,5,4.5,4,3.5,3.5
Spring,2013,"KINGSFORD, C.",CB,2513,ALGTH & DATA STRUCTR,A,Lect,4,8,50%,8,3.75,4,3.75,3.5,4,3.75,4.25,3.75,3.75
Spring,2013,"VU, D.",CB,2652,OPPORTUNS BIOTECHNGY,A3,Lect,9,21,43%,6.67,4.22,4.11,4,4.11,4.11,4.33,4.33,4.33,4.22
Spring,2013,"BAR-JOSEPH, Z.",CB,2710,COMPUTATNL GENOMICS,A,Lect,5,11,45%,12.2,3.2,3.4,4,3,4.2,4.2,4,3.8,3.4
Spring,2013,"KINGSFORD, C.",CB,2713,ALGTHM & DATA STRUCT,A,Lect,43,58,74%,9,4.12,4.4,4.35,4.19,4.35,4.3,4.44,4.19,4.3
Spring,2013,"KIM, S.",CB,2715,ADV TPC COMPTNL GENM,A,Lect,3,3,100%,7,4.67,4.67,4.67,4.33,4.67,5,5,5,5
Spring,2013,"LANGMEAD, C.",CB,2730,CELL SYSTMS MODELING,A,Lect,6,8,75%,14.33,4,4.17,4.5,4,4,4.5,4.83,4,4.17
Spring,2013,"YANG, G.",CB,2740,BIOIMAGE INFORMTCS,A,Lect,2,4,50%,5,4,5,4.5,4,4.5,4.5,5,4.5,4
Spring,2013,"THICKMAN, K. (co-taught)",CB,2760,LAB MTHDS COMP BIO,A,Lect,5,5,100%,8.6,4.6,4.4,4.4,4,4.5,4.4,4.6,4.2,4
Spring,2013,"Ayoob, J. (co-taught)",CB,2760,LAB MTHDS COMP BIO,A,Lect,5,5,100%,8.6,4.2,4.6,4.2,4.2,4.2,4.2,4.8,4.2,4.2
Spring,2013,"GUNAWARDENA, A. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,1,Lect,64,140,46%,10.33,3.95,3.83,3.83,3.55,3.92,3.62,4.16,3.77,3.64
Spring,2013,"KAYNAR, Z. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,1,Lect,64,140,46%,10.12,3.98,3.89,3.87,3.69,3.87,3.76,4.1,3.69,3.77
Spring,2013,"GUNAWARDENA, A. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,2,Lect,34,86,40%,10.03,4,3.76,3.88,3.24,3.88,3.7,4.29,3.65,3.5
Spring,2013,"KAYNAR, Z. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,2,Lect,34,86,40%,10.27,4.12,3.97,3.97,3.62,4.06,3.94,4.24,3.88,3.74
Spring,2013,"FOSSATI, D.",CS,15110,PRINCPLS OF COMPUTNG,W,Lect,18,28,64%,15.59,4.11,4.11,3.78,3.33,3.67,4.06,4.67,4.11,3.83
Spring,2013,"FOSSATI, D.",CS,15110,PRINCPLS OF COMPUTNG,X,Lect,20,29,69%,15.85,3.9,4,3.85,3.8,3.55,3.85,4.45,4,3.5
Spring,2013,"KOSBIE, D.",CS,15112,FNDMTLS OF PGMG & CS,1,Lect,155,241,64%,16.81,4.8,4.72,4.75,4.57,4.81,4.71,4.49,4.72,4.72
Spring,2013,", .",CS,15112,FNDMTLS OF PGMG & CS,2,Lect,22,43,51%,15.73,4.45,4.41,4.43,4.18,4.41,4.36,4.68,4.27,4.59
Spring,2013,"CARRASQUEL, J.",CS,15121,INTRO DATA STRUCTURS,1,Lect,11,20,55%,11.36,4.09,4.55,4.36,4,4.09,4.45,4.27,4.09,4.18
Spring,2013,"SANS, T.",CS,15121,INTRO DATA STRUCTURS,W,Lect,9,9,100%,9.33,3.78,3.89,4.11,3.22,3.89,4.22,3.67,3.67,3.78
Spring,2013,"SIMMONS, R. (co-taught)",CS,15122,PRIN IMPRTV COMPTATN,1,Lect,126,206,61%,11.95,4.26,4.22,4.22,4.07,4.18,4.16,4.49,4.18,3.9
Spring,2013,"PLATZER, A. (co-taught)",CS,15122,PRIN IMPRTV COMPTATN,1,Lect,126,206,61%,11.92,3.62,3.76,3.7,3.57,3.71,3.52,3.98,3.38,3.77
Spring,2013,"RAZAK, S.",CS,15122,PRIN IMPRTV COMPTATN,3,Lect,23,28,82%,15.35,4.83,4.7,4.57,4.52,4.83,4.83,4.87,4.78,4.48
Spring,2013,"ERDMANN, M.",CS,15150,PRIN FNCTIONL PRGMMG,1,Lect,105,223,47%,11.82,4.5,4.29,4.41,4.08,4.35,4.44,4.66,4.37,4.15
Spring,2013,"CERVESATO, I.",CS,15199,ST:DISCOVERING LOGIC,W4,Lect,2,2,100%,8,4,4.5,4.5,4.5,4,4,4,4,4
Spring,2013,"REID-MILLER, M. (co-taught)",CS,15210,PRL SEQ DATA STR ALG,1,Lect,63,124,51%,13.4,3.78,3.68,3.68,3.53,3.67,3.42,4.08,3.25,3.65
Spring,2013,"ACAR, U. (co-taught)",CS,15210,PRL SEQ DATA STR ALG,1,Lect,63,124,51%,13.41,4.03,3.95,4.05,3.74,4.05,4.1,4,3.83,3.71
Spring,2013,"OFLAZER, K.",CS,15210,PRL SEQ DATA STR ALG,W,Lect,2,2,100%,24,4.5,4,4,3,3.5,4,3.5,4,3
Spring,2013,"GOLDSTEIN, S. (co-taught)",CS,15213,INTR CMPUTER SYSTEMS,1,Lect,43,111,39%,15.4,4.31,4.48,4.5,3.93,4.52,4.36,4.48,4.31,4.38
Spring,2013,"ROWE, A. (co-taught)",CS,15213,INTR CMPUTER SYSTEMS,1,Lect,43,111,39%,15.08,4.4,4.45,4.5,4.03,4.43,4.45,4.58,4.35,4.3
Spring,2013,"KESDEN, G.",CS,15213,INTR CMPUTER SYSTEMS,2,Lect,48,77,62%,16.26,4.23,4.1,4.21,4,4.25,4.15,4.02,4.04,4.33
Spring,2013,"GARROD, C. (co-taught)",CS,15214,PRIN 0-0 SFTWR CONST,1,Lect,34,87,39%,11.5,4.35,4.09,4.18,4.06,4.21,4.06,4.53,4,3.76
Spring,2013,"KASTNER, C. (co-taught)",CS,15214,PRIN 0-0 SFTWR CONST,1,Lect,34,87,39%,11.52,4.09,3.79,3.82,3.74,3.85,3.62,4.35,3.56,3.76
Spring,2013,"SANS, T.",CS,15214,PRIN 0-0 SFTWR CONST,W,Lect,12,12,100%,13.33,4.42,4.33,4.67,3.83,4.5,4.5,4.58,4.67,4.33
Spring,2013,"KEATING, T.",CS,15221,TECHNCL COMMUNCTN CS,1,Lect,35,89,39%,5.17,4.59,4.39,4.35,4.44,4.21,4.03,4.59,4.29,3.77
Spring,2013,"KOSBIE, D.",CS,15237,ST: MOBILE WEB APPS,1,Lect,62,108,57%,14.47,4.6,4.1,4.32,4.03,4.73,4.16,4.48,4.45,4.27
Spring,2013,"DIAS, M. (co-taught)",CS,15239,ST SFTWR DEV SOCL GD,A,Lect,14,21,67%,13,4.29,4.07,4.29,4.21,4.71,4.21,4.64,4.21,4.14
Spring,2013,"KOSBIE, D. (co-taught)",CS,15239,ST SFTWR DEV SOCL GD,A,Lect,14,21,67%,13,4.43,4.14,4.29,4.21,4.57,4.21,4.57,4.5,4.14
Spring,2013,"RUDICH, S. (co-taught)",CS,15251,GRT THERTCL IDEAS CS,1,Lect,101,155,65%,19.82,3.36,2.89,2.93,2.74,3.28,2.29,3.88,2.42,3.67
Spring,2013,"VON AHN ARELLANO, L. (co-taught)",CS,15251,GRT THERTCL IDEAS CS,1,Lect,101,155,65%,19.96,3.7,4.28,4.21,3.4,4.26,4.42,3.92,4.29,4.14
Spring,2013,"ODONNELL, R. (co-taught)",CS,15251,GRT THERTCL IDEAS CS,1,Lect,101,155,65%,20.06,4.83,4.61,4.54,4.56,4.73,4.78,4.74,4.82,4.34
Spring,2013,"CORTINA, T.",CS,15292,ST HISTORY COMUTNG,A3,Lect,8,18,44%,9.5,4.88,4.63,4.63,4,4.5,4.63,4.63,4.63,4.38
Spring,2013,"FINK, E. (co-taught)",CS,15295,COMPTN PGMG PBL SLVG,A,Lect,5,11,45%,5,5,5,5,5,5,5,5,5,5
Spring,2013,"SLEATOR, D. (co-taught)",CS,15295,COMPTN PGMG PBL SLVG,A,Lect,5,11,45%,6.2,4.8,4.4,4.6,4.6,4.6,4.4,4.6,4.6,5
Spring,2013,"FRIEZE, C.",CS,15296,ST:UND BRDN IMG CMPT,A4,Lect,1,12,8%,8,3,2,4,2,4,3,2,3,4
Spring,2013,"DIAS, M. (co-taught)",CS,15302,ST: INNV UNDSRVD COM,A3,Lect,4,6,67%,12,4.5,3.25,4,4,5,4.25,4.75,4.5,4.25
Spring,2013,"COOPER, Y. (co-taught)",CS,15302,ST: INNV UNDSRVD COM,A3,Lect,4,6,67%,12.33,5,4,5,5,5,4.5,5,5,5
Spring,2013,"DIAS, M. (co-taught)",CS,15303,ST:SM INNVG UNDS COM,A4,Lect,3,11,27%,5,4.67,4,4.33,4.67,5,4,4.67,4.67,4.67
Spring,2013,"COOPER, Y. (co-taught)",CS,15303,ST:SM INNVG UNDS COM,A4,Lect,3,11,27%,5,4.5,3.5,3.5,5,4,4.5,4.5,4,4.5
Spring,2013,"HARPER, R.",CS,15312,FNDTNS PROGRMG LANG,1,Lect,18,45,40%,14.72,4.5,4.22,4.39,3.39,4.72,4.67,4.44,4.44,4.39
Spring,2013,"CERVESATO, I.",CS,15312,FNDTNS PROGRMG LANG,W,Lect,2,2,100%,12.5,5,4,5,5,5,5,5,5,5
Spring,2013,"GIBSON, G. (co-taught)",CS,15319,CLOUD COMPUTING,A,Lect,2,7,29%,8,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4
Spring,2013,"SAKR, M. (co-taught)",CS,15319,CLOUD COMPUTING,A,Lect,2,7,29%,8,4,4,4,3.5,4,4,4,4,4
Spring,2013,"DANNENBERG, R.",CS,15322,INTRO COMPUTER MUSIC,A,Lect,46,78,59%,8.28,4.02,4.02,3.96,3.72,3.78,3.7,4.57,3.57,3.61
Spring,2013,"ADAMCHIK, V.",CS,15355,MDRN COMPUTR ALGEBRA,A,Lect,4,9,44%,7.25,4.25,3.25,3.5,3.5,4,3.5,3.75,3.5,3.75
Spring,2013,"HARCHOL-BALTER, M. (co-taught)",CS,15359,PROBABILITY & COMPTG,1,Lect,13,22,59%,13.54,5,4.77,4.77,4.54,5,4.85,4.85,4.77,4.38
Spring,2013,"ADAMCHIK, V. (co-taught)",CS,15359,PROBABILITY & COMPTG,1,Lect,13,22,59%,13.77,4.08,3.46,3.25,3.17,4.08,3.42,4.08,3.23,3.92
Spring,2013,"KANADE, T.",CS,15385,INTRO COMPUTER VISN,W3,Lect,5,9,56%,6.8,4.6,4,4.5,4,4.8,4.2,4.6,4.4,4
Spring,2013,"ECKHARDT, D.",CS,15410,OP SYS DESIGN & IMPL,A,Lect,12,23,52%,20.92,4.75,4.83,4.75,4.42,4.83,4.67,4.5,4.75,4.67
Spring,2013,"ROSSO-LLOPART, M. (co-taught)",CS,15413,SFTWR ENGRG PRACTCUM,A,Lect,5,11,45%,11.6,4.6,3.8,3.6,5,4.2,4,5,4.6,4
Spring,2013,"GARROD, C. (co-taught)",CS,15413,SFTWR ENGRG PRACTCUM,A,Lect,5,11,45%,11.6,4.8,4.2,4,4.8,4.4,4,5,4.6,4
Spring,2013,"FALOUTSOS, C.",CS,15415,DATABASE APPLICATNS,1,Lect,12,38,32%,7.25,4.17,4.33,4.58,3.75,4.42,4.5,4.75,4.25,4
Spring,2013,"CRARY, K.",CS,15417,HOT COMPILATION,A,Lect,12,14,86%,11.83,4.58,4.5,4.58,3.92,4.5,4.42,4.58,4.67,4.42
Spring,2013,"FATAHALIAN, K.",CS,15418,PRLL COMP ARC & PGMG,A,Lect,33,67,49%,12.24,4.79,4.64,4.82,4.42,4.88,4.91,4.85,5,4.64
Spring,2013,"FATAHALIAN, K.",CS,15418,PRLL COMP ARC & PGMG,W,Lect,1,3,33%,14,5,5,5,5,5,5,5,5,5
Spring,2013,"RAMAKRISHNAN, B.",CS,15423,ST DGTL SIG PRCG CS,A,Lect,1,2,50%,2,2,2,2,1,1,1,1,1,1
Spring,2013,"EPPINGER, J.",CS,15437,WEB APPLCTN DEVLPMNT,A,Lect,22,35,63%,7.73,4.5,4.55,4.73,4.45,4.59,4.55,4.73,4.59,4.36
Spring,2013,"KESDEN, G.",CS,15440,DISTRIBUTED SYSTEMS,A,Lect,27,67,40%,12.67,4.04,3.27,3.38,3.62,4.23,3.85,3.65,3.85,3.59
Spring,2013,"HARRAS, K.",CS,15441,COMPUTER NETWORKS,W,Lect,6,6,100%,21.83,4.67,4.5,4.83,4.17,4.83,5,4.67,5,4.33
Spring,2013,"SESHAN, S.",CS,15446,ST:NTWRKD SYS PRACT,A,Lect,2,3,67%,9.5,4.5,4,4,4.5,4.5,4.5,4.5,4.5,4
Spring,2013,"SLEATOR, D. (co-taught)",CS,15451,ALGORITHM DES & ANLS,1,Lect,20,43,47%,11.35,3.5,3.26,3.26,3.05,3.53,2.95,3.75,2.9,3.1
Spring,2013,"MILLER, G. (co-taught)",CS,15451,ALGORITHM DES & ANLS,1,Lect,20,43,47%,11.35,3.37,3.32,3.32,3.05,3.32,3.16,3.47,2.95,3.1
Spring,2013,"COOPER, Y.",CS,15451,ALGORITHM DES & ANLS,2,Lect,9,14,64%,13.44,3.78,3.89,4,4.11,4.22,3.89,4.67,3.78,4.11
Spring,2013,"KAPOUTSIS, C.",CS,15451,ALGORITHM DES & ANLS,W,Lect,10,14,71%,12.78,4.7,4.4,4.4,4.3,4.5,4.8,4.9,4.8,4.1
Spring,2013,"BLUM, L.",CS,15453,FRML LNG ATMT & CMPB,A,Lect,6,19,32%,9,4.17,4.17,4.33,3.83,4.17,4.33,4.5,4.5,4.33
Spring,2013,"SUTNER, K.",CS,15454,ST CMPTNL AUTM THRY,A,Lect,5,5,100%,4.4,4.6,4.2,4.8,4.6,4.6,4.8,5,4.8,4.8
Spring,2013,"POLLARD, N.",CS,15462,COMPUTER GRAPHICS,A,Lect,19,35,54%,11.11,4.21,4.21,4.26,3.79,4.53,3.95,4.63,3.89,4.11
Spring,2013,"POLLARD, N.",CS,15464,TECHNICAL ANIMATION,A,Lect,5,10,50%,8,4.8,4.6,4.4,3.8,4.8,4.8,5,4.2,4.4
Spring,2013,"DUESING, J. (co-taught)",CS,15465,ANIMATION ART & TECH,A,Lect,2,10,20%,12.5,4,3.5,3,3.5,4,3,4.5,3.5,3.5
Spring,2013,"HODGINS, J. (co-taught)",CS,15465,ANIMATION ART & TECH,A,Lect,2,10,20%,11,4,4,3.5,4,4,4,4.5,4,3.5
Spring,2013,"ECKHARDT, D.",CS,15605,OPRG SYS DSG IMPLMN,A,Lect,25,37,68%,23.08,4.56,4.52,4.52,4.56,4.64,4.48,4.56,4.48,4.84
Spring,2013,"SATYANARAYANAN, M.",CS,15610,ENGNRING DISTRBT SYS,A,Lect,7,7,100%,14.29,4.71,4.71,4.71,4.29,4.86,4.71,4.86,4.71,4.71
Spring,2013,"FALOUTSOS, C.",CS,15615,DATABASE APPLICATNS,1,Lect,23,33,70%,10.39,4.83,4.87,4.78,4.74,4.74,4.83,4.91,4.87,4.86
Spring,2013,"FATAHALIAN, K.",CS,15618,PARL CMP ARC PRGNG,A,Lect,14,17,82%,14.5,4.93,4.71,4.86,4.64,4.93,4.86,4.93,4.93,4.79
Spring,2013,"GIBSON, G. (co-taught)",CS,15619,CLOUD COMPUTING,A,Lect,28,36,78%,13.81,4.29,4.36,4.36,4.39,4.32,4.29,4.5,4.25,4.33
Spring,2013,"SAKR, M. (co-taught)",CS,15619,CLOUD COMPUTING,A,Lect,28,36,78%,13.56,4.52,4.48,4.48,4.41,4.56,4.63,4.74,4.52,4.48
Spring,2013,"EPPINGER, J.",CS,15637,WEB APPLCTN DEVLPMNT,A,Lect,37,45,82%,12.33,4.65,4.59,4.59,4.59,4.73,4.59,4.73,4.62,4.54
Spring,2013,"KESDEN, G.",CS,15640,DISTRIBUTED SYSTEMS,A,Lect,10,15,67%,12.44,3.2,2.6,2.4,3,2.9,2.4,3,2.6,2.8
Spring,2013,"GIBSON, G.",CS,15648,STUDIO DATA SYSTEMS,A,Lect,4,4,100%,17.5,5,4.25,3.75,4.5,4.75,4.5,4.75,4.5,4.25
Spring,2013,"GIBSON, G.",CS,15649,SEMINAR DATA SYSTEMS,A,Lect,4,5,80%,6.5,4.75,5,4.75,4.75,4.75,4.75,5,5,5
Spring,2013,"SLEATOR, D. (co-taught)",CS,15651,ALGORITHM DES & ANLS,1,Lect,5,7,71%,13.6,4,4,3.4,3.6,3.6,3.4,3.6,3.6,4.4
Spring,2013,"MILLER, G. (co-taught)",CS,15651,ALGORITHM DES & ANLS,1,Lect,5,7,71%,14.25,4.4,4,4.2,4.2,4.4,4.2,4.4,4.4,4.2
Spring,2013,"HARCHOL-BALTER, M. (co-taught)",CS,15659,PROBLTY & COMPUTING,1,Lect,4,4,100%,7.25,4.75,5,4.75,4,5,4.75,4.5,4.75,4.75
Spring,2013,"ADAMCHIK, V. (co-taught)",CS,15659,PROBLTY & COMPUTING,1,Lect,4,4,100%,8.75,3.5,3.5,3.5,2.75,3,3.25,3.75,3.25,3
Spring,2013,"POLLARD, N.",CS,15662,COMPUTER GRAPHICS,A,Lect,23,34,68%,19.23,4.39,4.39,4.43,4.48,4.39,4.35,4.74,4.43,4.57
